State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,922,570",20.76,15.77,"43,170","32,800"
Alabama,Construction/Extraction,"73,870",19.60,17.97,"40,770","37,380"
Alaska,All,"318,170",27.77,22.86,"57,750","47,560"
Alaska,Construction/Extraction,"18,880",32.02,31.03,"66,600","64,550"
Arizona,All,"2,704,050",23.15,17.44,"48,160","36,270"
Arizona,Construction/Extraction,"111,570",21.16,19.47,"44,020","40,490"
Arkansas,All,"1,200,130",19.49,14.82,"40,530","30,810"
Arkansas,Construction/Extraction,"46,330",18.11,16.69,"37,660","34,710"
California,All,"16,695,010",27.50,19.70,"57,190","40,980"
California,Construction/Extraction,"622,290",27.89,25.69,"58,010","53,440"
Colorado,All,"2,555,300",25.99,19.66,"54,050","40,880"
Colorado,Construction/Extraction,"133,900",23.10,21.61,"48,040","44,950"
Connecticut,All,"1,654,420",28.56,22.05,"59,410","45,870"
Connecticut,Construction/Extraction,"50,170",27.30,26.45,"56,790","55,020"
Delaware,All,"442,690",25.10,18.68,"52,200","38,850"
Delaware,Construction/Extraction,"15,510",24.28,22.74,"50,500","47,290"
District of Columbia,All,"708,220",41.21,33.82,"85,720","70,340"
District of Columbia,Construction/Extraction,"13,440",26.75,25.22,"55,640","52,450"
Florida,All,"8,419,030",21.53,16.07,"44,790","33,420"
Florida,Construction/Extraction,"376,890",19.14,17.48,"39,810","36,350"
Georgia,All,"4,303,530",22.69,16.85,"47,200","35,040"
Georgia,Construction/Extraction,"149,270",20.04,17.95,"41,690","37,340"
Hawaii,All,"632,990",25.02,20.02,"52,050","41,650"
Hawaii,Construction/Extraction,"32,550",32.43,30.91,"67,450","64,300"
Idaho,All,"685,630",20.31,15.99,"42,240","33,250"
Idaho,Construction/Extraction,"39,820",20.03,18.26,"41,650","37,970"
Illinois,All,"5,927,860",25.20,18.69,"52,410","38,870"
Illinois,Construction/Extraction,"176,110",31.44,31.55,"65,390","65,620"
Indiana,All,"3,018,490",21.13,16.63,"43,950","34,590"
Indiana,Construction/Extraction,"117,810",23.75,21.87,"49,410","45,480"
Iowa,All,"1,535,460",21.50,17.27,"44,730","35,930"
Iowa,Construction/Extraction,"68,200",21.90,20.62,"45,550","42,880"
Kansas,All,"1,369,110",21.43,16.90,"44,570","35,150"
Kansas,Construction/Extraction,"57,540",21.59,19.19,"44,910","39,910"
Kentucky,All,"1,876,430",20.39,16.25,"42,410","33,790"
Kentucky,Construction/Extraction,"69,820",21.99,20.34,"45,740","42,300"
Louisiana,All,"1,902,060",19.99,15.62,"41,590","32,490"
Louisiana,Construction/Extraction,"119,170",21.75,20.18,"45,250","41,980"
Maine,All,"599,180",21.78,17.41,"45,300","36,210"
Maine,Construction/Extraction,"25,260",20.18,19.11,"41,980","39,740"
Maryland,All,"2,664,330",27.53,21.08,"57,270","43,840"
Maryland,Construction/Extraction,"115,820",23.72,21.73,"49,350","45,210"
Massachusetts,All,"3,528,070",29.86,22.81,"62,110","47,440"
Massachusetts,Construction/Extraction,"122,570",29.68,27.62,"61,730","57,450"
Michigan,All,"4,276,040",23.22,17.62,"48,300","36,650"
Michigan,Construction/Extraction,"135,370",24.00,22.67,"49,930","47,140"
Minnesota,All,"2,838,270",25.35,19.84,"52,730","41,260"
Minnesota,Construction/Extraction,"99,900",27.72,26.77,"57,650","55,690"
Mississippi,All,"1,119,470",18.71,14.46,"38,910","30,070"
Mississippi,Construction/Extraction,"40,520",19.07,17.26,"39,660","35,910"
Missouri,All,"2,788,680",21.89,16.85,"45,520","35,050"
Missouri,Construction/Extraction,"105,290",25.48,23.96,"53,010","49,840"
Montana,All,"460,740",20.39,16.27,"42,400","33,840"
Montana,Construction/Extraction,"28,670",23.53,22.23,"48,950","46,240"
Nebraska,All,"970,230",21.89,17.37,"45,530","36,130"
Nebraska,Construction/Extraction,"43,320",20.75,18.86,"43,170","39,230"
Nevada,All,"1,310,220",21.65,16.79,"45,040","34,930"
Nevada,Construction/Extraction,"68,340",24.17,22.35,"50,280","46,500"
New Hampshire,All,"649,950",24.54,18.70,"51,040","38,900"
New Hampshire,Construction/Extraction,"21,250",22.72,21.50,"47,250","44,730"
New Jersey,All,"4,007,470",27.39,20.43,"56,970","42,500"
New Jersey,Construction/Extraction,"120,710",29.19,27.02,"60,710","56,200"
New Mexico,All,"801,080",21.56,16.08,"44,840","33,450"
New Mexico,Construction/Extraction,"48,880",20.80,18.54,"43,270","38,570"
New York,All,"9,207,870",28.90,21.00,"60,100","43,690"
New York,Construction/Extraction,"332,420",30.97,27.67,"64,420","57,550"
North Carolina,All,"4,298,390",22.15,16.71,"46,080","34,750"
North Carolina,Construction/Extraction,"157,810",19.20,17.82,"39,940","37,060"
North Dakota,All,"416,670",23.14,19.25,"48,130","40,040"
North Dakota,Construction/Extraction,"32,680",25.80,24.46,"53,660","50,880"
Ohio,All,"5,370,640",22.57,17.55,"46,950","36,500"
Ohio,Construction/Extraction,"185,480",23.43,22.36,"48,740","46,500"
Oklahoma,All,"1,573,000",20.84,16.17,"43,340","33,630"
Oklahoma,Construction/Extraction,"81,480",20.90,18.63,"43,470","38,750"
Oregon,All,"1,830,790",24.52,18.67,"51,010","38,840"
Oregon,Construction/Extraction,"76,480",25.11,23.05,"52,240","47,950"
Pennsylvania,All,"5,781,610",23.44,18.05,"48,760","37,540"
Pennsylvania,Construction/Extraction,"217,180",24.44,22.32,"50,840","46,430"
Rhode Island,All,"475,910",25.54,19.45,"53,110","40,450"
Rhode Island,Construction/Extraction,"16,080",25.82,24.43,"53,710","50,810"
South Carolina,All,"2,009,460",20.31,15.76,"42,240","32,780"
South Carolina,Construction/Extraction,"78,820",19.14,17.57,"39,820","36,550"
South Dakota,All,"419,470",19.60,15.55,"40,770","32,340"
South Dakota,Construction/Extraction,"22,020",18.90,17.75,"39,320","36,910"
Tennessee,All,"2,915,750",20.94,16.28,"43,550","33,860"
Tennessee,Construction/Extraction,"93,220",19.53,17.98,"40,610","37,400"
Texas,All,"11,890,880",23.42,17.39,"48,700","36,170"
Texas,Construction/Extraction,"596,630",20.96,18.47,"43,600","38,420"
Utah,All,"1,410,670",22.33,17.14,"46,460","35,650"
Utah,Construction/Extraction,"80,310",20.98,19.85,"43,630","41,280"
Vermont,All,"305,110",23.48,18.57,"48,840","38,640"
Vermont,Construction/Extraction,"13,870",21.80,20.12,"45,340","41,860"
Virginia,All,"3,789,910",25.95,19.13,"53,980","39,800"
Virginia,Construction/Extraction,"156,390",21.45,19.66,"44,610","40,890"
Washington,All,"3,186,610",27.63,21.36,"57,480","44,440"
Washington,Construction/Extraction,"152,150",28.10,25.99,"58,450","54,060"
West Virginia,All,"688,530",19.90,15.16,"41,400","31,540"
West Virginia,Construction/Extraction,"38,620",22.98,20.71,"47,800","43,080"
Wisconsin,All,"2,825,170",22.24,17.81,"46,270","37,040"
Wisconsin,Construction/Extraction,"102,040",25.34,23.83,"52,700","49,570"
Wyoming,All,"267,980",22.91,18.81,"47,650","39,120"
Wyoming,Construction/Extraction,"25,740",24.73,23.02,"51,430","47,870"
