State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
New Mexico,Construction/Extraction,"49,490",18.71,17.02,"38,920","35,400"
New York,All,"8,542,280",25.76,19.19,"53,580","39,910"
New York,Construction/Extraction,"293,090",27.61,24.89,"57,430","51,770"
North Carolina,All,"3,878,800",20.07,15.31,"41,750","31,850"
North Carolina,Construction/Extraction,"133,550",17.22,15.85,"35,820","32,970"
North Dakota,All,"403,290",19.64,16.40,"40,850","34,110"
North Dakota,Construction/Extraction,"38,220",21.92,20.43,"45,580","42,490"
Ohio,All,"5,054,250",20.52,16.03,"42,690","33,350"
Ohio,Construction/Extraction,"158,450",21.53,20.52,"44,780","42,670"
Oklahoma,All,"1,529,900",18.83,14.52,"39,160","30,200"
Oklahoma,Construction/Extraction,"83,070",18.18,16.71,"37,820","34,760"
Oregon,All,"1,609,900",21.75,17.14,"45,250","35,650"
Oregon,Construction/Extraction,"57,160",23.36,21.90,"48,590","45,550"
Pennsylvania,All,"5,596,480",21.40,16.78,"44,520","34,900"
Pennsylvania,Construction/Extraction,"224,030",21.81,20.18,"45,360","41,980"
Rhode Island,All,"453,020",23.31,17.96,"48,480","37,360"
Rhode Island,Construction/Extraction,"14,720",23.77,22.49,"49,430","46,790"
South Carolina,All,"1,796,550",18.61,14.52,"38,700","30,210"
South Carolina,Construction/Extraction,"60,390",17.26,15.81,"35,900","32,890"
South Dakota,All,"398,680",17.32,13.99,"36,020","29,090"
South Dakota,Construction/Extraction,"19,530",16.46,15.25,"34,230","31,720"
Tennessee,All,"2,657,280",18.90,14.59,"39,320","30,350"
Tennessee,Construction/Extraction,"89,180",17.40,16.19,"36,190","33,670"
Texas,All,"10,579,400",20.97,15.55,"43,620","32,350"
Texas,Construction/Extraction,"542,430",18.12,16.03,"37,690","33,350"
Utah,All,"1,200,850",20.12,15.75,"41,840","32,760"
Utah,Construction/Extraction,"70,710",19.18,18.03,"39,880","37,500"
Vermont,All,"294,090",21.00,16.61,"43,680","34,540"
Vermont,Construction/Extraction,"14,270",19.18,17.93,"39,900","37,290"
Virginia,All,"3,597,100",23.82,17.61,"49,540","36,630"
Virginia,Construction/Extraction,"152,440",19.36,17.72,"40,260","36,860"
Washington,All,"2,764,080",24.59,19.47,"51,150","40,500"
Washington,Construction/Extraction,"110,660",25.58,24.53,"53,200","51,030"
West Virginia,All,"710,540",17.84,13.73,"37,100","28,550"
West Virginia,Construction/Extraction,"51,540",21.44,19.89,"44,600","41,370"
Wisconsin,All,"2,673,280",20.15,16.18,"41,920","33,650"
Wisconsin,Construction/Extraction,"83,930",23.10,21.74,"48,060","45,230"
Wyoming,All,"278,040",20.76,17.67,"43,180","36,740"
Wyoming,Construction/Extraction,"33,770",22.21,21.05,"46,200","43,790"
