State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,824,400",19.01,14.40,"39,550","29,950"
Alabama,Construction/Extraction,"75,280",17.48,16.05,"36,360","33,390"
Alaska,All,"318,700",25.02,20.92,"52,050","43,510"
Alaska,Construction/Extraction,"20,580",29.39,28.70,"61,120","59,690"
Arizona,All,"2,414,340",21.13,16.34,"43,950","33,980"
Arizona,Construction/Extraction,"100,000",19.12,17.67,"39,770","36,750"
Arkansas,All,"1,155,020",17.72,13.79,"36,850","28,690"
Arkansas,Construction/Extraction,"47,760",16.65,15.48,"34,630","32,200"
California,All,"14,303,630",25.17,18.64,"52,350","38,770"
California,Construction/Extraction,"459,670",25.87,24.40,"53,820","50,750"
Colorado,All,"2,226,160",23.13,17.84,"48,110","37,100"
Colorado,Construction/Extraction,"105,010",21.12,19.20,"43,940","39,940"
Connecticut,All,"1,620,620",25.85,20.20,"53,760","42,030"
Connecticut,Construction/Extraction,"44,090",25.61,24.64,"53,280","51,250"
Delaware,All,"405,750",23.25,17.65,"48,350","36,710"
Delaware,Construction/Extraction,"14,480",21.75,20.37,"45,240","42,370"
District of Columbia,All,"653,760",36.51,29.79,"75,950","61,960"
District of Columbia,Construction/Extraction,"11,910",26.41,25.49,"54,930","53,020"
Florida,All,"7,273,850",19.68,14.72,"40,930","30,620"
Florida,Construction/Extraction,"251,220",17.68,16.20,"36,760","33,690"
Georgia,All,"3,815,530",20.82,15.48,"43,310","32,190"
Georgia,Construction/Extraction,"117,290",18.33,16.54,"38,120","34,400"
Hawaii,All,"588,210",21.54,17.47,"44,790","36,350"
Hawaii,Construction/Extraction,"24,330",29.36,29.67,"61,060","61,700"
Idaho,All,"598,540",18.48,14.58,"38,440","30,330"
Idaho,Construction/Extraction,"27,970",17.78,16.74,"36,970","34,820"
Illinois,All,"5,640,740",22.68,17.06,"47,180","35,490"
Illinois,Construction/Extraction,"192,020",26.17,25.72,"54,420","53,490"
Indiana,All,"2,811,920",19.38,15.26,"40,320","31,740"
Indiana,Construction/Extraction,"111,490",22.78,21.17,"47,370","44,030"
Iowa,All,"1,470,740",19.02,15.33,"39,560","31,880"
Iowa,Construction/Extraction,"58,540",19.53,18.25,"40,620","37,970"
Kansas,All,"1,320,920",19.53,15.06,"40,630","31,330"
Kansas,Construction/Extraction,"56,520",19.42,17.45,"40,390","36,300"
Kentucky,All,"1,764,750",18.72,14.78,"38,940","30,740"
Kentucky,Construction/Extraction,"70,060",18.99,17.74,"39,500","36,910"
Louisiana,All,"1,868,210",18.86,14.93,"39,230","31,050"
Louisiana,Construction/Extraction,"114,420",18.55,17.19,"38,580","35,740"
Maine,All,"581,110",19.64,15.84,"40,860","32,950"
Maine,Construction/Extraction,"24,650",18.66,17.55,"38,810","36,510"
Maryland,All,"2,510,680",25.17,19.52,"52,360","40,590"
Maryland,Construction/Extraction,"105,370",21.88,19.76,"45,520","41,100"
Massachusetts,All,"3,202,080",26.73,20.88,"55,600","43,420"
Massachusetts,Construction/Extraction,"94,390",27.00,25.54,"56,160","53,110"
Michigan,All,"3,918,120",21.14,16.52,"43,970","34,370"
Michigan,Construction/Extraction,"114,450",22.34,21.12,"46,470","43,930"
Minnesota,All,"2,641,110",22.42,17.74,"46,630","36,900"
Minnesota,Construction/Extraction,"81,230",24.67,23.70,"51,310","49,300"
Mississippi,All,"1,080,420",16.98,13.37,"35,310","27,820"
Mississippi,Construction/Extraction,"50,500",16.88,15.55,"35,110","32,330"
Missouri,All,"2,605,910",19.79,15.21,"41,170","31,650"
Missouri,Construction/Extraction,"90,660",23.18,22.20,"48,210","46,170"
Montana,All,"432,380",18.29,14.49,"38,030","30,140"
Montana,Construction/Extraction,"26,480",20.86,19.45,"43,390","40,460"
Nebraska,All,"914,830",19.00,15.01,"39,510","31,210"
Nebraska,Construction/Extraction,"37,700",18.46,16.66,"38,390","34,660"
Nevada,All,"1,127,160",20.16,15.87,"41,930","33,000"
Nevada,Construction/Extraction,"48,200",24.98,23.92,"51,960","49,750"
New Hampshire,All,"612,710",21.92,17.18,"45,580","35,740"
New Hampshire,Construction/Extraction,"19,940",20.57,19.43,"42,790","40,410"
New Jersey,All,"3,793,720",25.00,19.17,"51,990","39,870"
New Jersey,Construction/Extraction,"101,430",27.15,25.92,"56,480","53,910"
New Mexico,All,"773,860",19.92,15.11,"41,440","31,430"
