State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,844,080",19.35,14.61,"40,240","30,390"
Alabama,Construction/Extraction,"76,670",17.93,16.51,"37,290","34,340"
Alaska,All,"322,660",25.53,21.32,"53,110","44,350"
Alaska,Construction/Extraction,"21,300",29.70,28.94,"61,780","60,200"
Arizona,All,"2,475,660",21.33,16.43,"44,370","34,170"
Arizona,Construction/Extraction,"107,430",19.60,17.89,"40,760","37,200"
Arkansas,All,"1,152,600",17.95,13.90,"37,340","28,910"
Arkansas,Construction/Extraction,"45,040",16.93,15.75,"35,210","32,760"
California,All,"14,714,530",25.49,18.71,"53,030","38,920"
California,Construction/Extraction,"494,010",26.03,24.56,"54,130","51,090"
Colorado,All,"2,295,000",23.53,18.04,"48,950","37,530"
Colorado,Construction/Extraction,"110,760",21.10,19.26,"43,900","40,060"
Connecticut,All,"1,635,590",26.16,20.33,"54,410","42,280"
Connecticut,Construction/Extraction,"44,810",25.48,24.60,"53,000","51,170"
Delaware,All,"412,140",23.68,17.94,"49,260","37,320"
Delaware,Construction/Extraction,"15,520",21.86,20.46,"45,470","42,560"
District of Columbia,All,"665,850",37.04,30.62,"77,040","63,680"
District of Columbia,Construction/Extraction,"12,240",24.81,23.70,"51,600","49,290"
Florida,All,"7,453,230",19.78,14.74,"41,140","30,660"
Florida,Construction/Extraction,"266,530",17.61,16.05,"36,620","33,380"
Georgia,All,"3,879,660",21.17,15.63,"44,040","32,510"
Georgia,Construction/Extraction,"120,950",18.35,16.52,"38,160","34,350"
Hawaii,All,"602,200",21.84,17.75,"45,420","36,910"
Hawaii,Construction/Extraction,"26,030",29.22,29.27,"60,770","60,880"
Idaho,All,"613,000",18.67,14.68,"38,840","30,540"
Idaho,Construction/Extraction,"28,550",18.26,17.19,"37,990","35,750"
Illinois,All,"5,704,700",22.92,17.18,"47,680","35,720"
Illinois,Construction/Extraction,"176,630",27.67,27.79,"57,550","57,800"
Indiana,All,"2,854,250",19.61,15.38,"40,780","31,990"
Indiana,Construction/Extraction,"111,850",23.28,21.54,"48,430","44,800"
Iowa,All,"1,491,600",19.35,15.57,"40,240","32,380"
Iowa,Construction/Extraction,"58,510",19.83,18.44,"41,240","38,360"
Kansas,All,"1,336,460",19.83,15.44,"41,240","32,110"
Kansas,Construction/Extraction,"56,060",19.66,17.65,"40,900","36,700"
Kentucky,All,"1,782,820",19.00,15.01,"39,520","31,220"
Kentucky,Construction/Extraction,"65,710",19.73,18.18,"41,040","37,810"
Louisiana,All,"1,885,310",18.99,15.03,"39,510","31,260"
Louisiana,Construction/Extraction,"116,920",18.99,17.52,"39,500","36,430"
Maine,All,"582,430",19.92,16.06,"41,440","33,400"
Maine,Construction/Extraction,"23,830",18.75,17.62,"39,000","36,650"
Maryland,All,"2,534,480",25.41,19.57,"52,850","40,710"
Maryland,Construction/Extraction,"106,920",21.69,19.63,"45,110","40,840"
Massachusetts,All,"3,257,870",27.12,21.07,"56,410","43,830"
Massachusetts,Construction/Extraction,"99,450",27.24,25.86,"56,660","53,790"
Michigan,All,"3,998,790",21.42,16.67,"44,540","34,670"
Michigan,Construction/Extraction,"114,680",22.53,21.27,"46,870","44,240"
Minnesota,All,"2,688,580",22.77,17.98,"47,370","37,390"
Minnesota,Construction/Extraction,"85,170",24.85,23.97,"51,690","49,860"
Mississippi,All,"1,083,560",17.34,13.57,"36,070","28,240"
Mississippi,Construction/Extraction,"50,470",17.08,15.82,"35,530","32,910"
Missouri,All,"2,639,120",20.20,15.55,"42,020","32,340"
Missouri,Construction/Extraction,"93,830",23.45,22.62,"48,780","47,050"
Montana,All,"439,110",18.79,14.79,"39,090","30,770"
Montana,Construction/Extraction,"27,260",21.37,19.95,"44,450","41,500"
Nebraska,All,"927,150",19.33,15.31,"40,210","31,840"
