State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Nebraska,Construction/Extraction,"38,330",18.67,16.87,"38,820","35,080"
Nevada,All,"1,151,970",20.30,16.03,"42,220","33,350"
Nevada,Construction/Extraction,"50,230",24.08,23.36,"50,080","48,580"
New Hampshire,All,"620,190",22.22,17.21,"46,210","35,800"
New Hampshire,Construction/Extraction,"20,040",20.66,19.53,"42,970","40,620"
New Jersey,All,"3,821,070",25.39,19.35,"52,800","40,250"
New Jersey,Construction/Extraction,"104,720",26.89,25.45,"55,940","52,940"
New Mexico,All,"783,980",19.94,15.14,"41,470","31,490"
New Mexico,Construction/Extraction,"52,290",19.30,17.35,"40,140","36,080"
New York,All,"8,635,400",26.24,19.45,"54,580","40,460"
New York,Construction/Extraction,"295,350",28.31,25.56,"58,880","53,160"
North Carolina,All,"3,947,030",20.39,15.46,"42,420","32,150"
North Carolina,Construction/Extraction,"131,540",17.37,16.06,"36,130","33,410"
North Dakota,All,"422,930",20.39,17.14,"42,410","35,640"
North Dakota,Construction/Extraction,"44,140",22.91,21.05,"47,650","43,790"
Ohio,All,"5,125,850",20.76,16.22,"43,170","33,730"
Ohio,Construction/Extraction,"161,190",21.94,20.87,"45,630","43,410"
Oklahoma,All,"1,558,860",19.20,14.77,"39,940","30,730"
Oklahoma,Construction/Extraction,"83,890",18.58,17.01,"38,650","35,380"
Oregon,All,"1,640,300",22.01,17.24,"45,780","35,850"
Oregon,Construction/Extraction,"59,640",23.70,22.09,"49,290","45,940"
Pennsylvania,All,"5,616,820",21.77,16.98,"45,280","35,320"
Pennsylvania,Construction/Extraction,"218,830",22.21,20.46,"46,190","42,560"
Rhode Island,All,"456,100",23.47,18.03,"48,820","37,500"
Rhode Island,Construction/Extraction,"15,270",23.24,22.54,"48,330","46,880"
South Carolina,All,"1,826,120",18.75,14.56,"38,990","30,280"
South Carolina,Construction/Extraction,"61,010",17.81,16.25,"37,050","33,800"
South Dakota,All,"402,990",17.56,14.14,"36,530","29,420"
South Dakota,Construction/Extraction,"19,670",16.55,15.50,"34,420","32,230"
Tennessee,All,"2,700,050",19.33,14.90,"40,200","30,990"
Tennessee,Construction/Extraction,"85,920",17.80,16.47,"37,030","34,250"
Texas,All,"10,913,950",21.35,15.81,"44,400","32,880"
Texas,Construction/Extraction,"566,220",18.60,16.44,"38,690","34,190"
Utah,All,"1,242,690",20.55,16.00,"42,740","33,280"
Utah,Construction/Extraction,"72,070",19.67,18.27,"40,920","38,000"
Vermont,All,"298,290",21.18,17.01,"44,060","35,380"
Vermont,Construction/Extraction,"14,050",19.27,18.08,"40,090","37,600"
Virginia,All,"3,631,440",24.10,17.77,"50,120","36,960"
Virginia,Construction/Extraction,"151,380",19.58,17.85,"40,720","37,140"
Washington,All,"2,827,200",25.04,19.67,"52,090","40,910"
Washington,Construction/Extraction,"116,960",25.80,24.66,"53,660","51,290"
West Virginia,All,"709,430",18.05,13.96,"37,550","29,040"
West Virginia,Construction/Extraction,"49,640",21.28,19.39,"44,270","40,340"
Wisconsin,All,"2,704,840",20.34,16.32,"42,310","33,950"
Wisconsin,Construction/Extraction,"85,470",23.40,21.99,"48,670","45,740"
Wyoming,All,"278,910",21.05,17.79,"43,770","36,990"
Wyoming,Construction/Extraction,"33,070",22.47,21.18,"46,730","44,050"
