State,OCC_TITLE,TOT_EMP,HR_MEAN $,HR_MEDIAN $,ANN_MEAN $,ANN_MEDIAN $
Alabama,All,"1,807,480",18.55,14.21,"38,590","29,570"
Alabama,Construction/Extraction,"82,970",16.83,15.26,"35,010","31,750"
Alaska,All,"308,050",24.21,20.02,"50,350","41,640"
Alaska,Construction/Extraction,"20,230",28.84,28.68,"59,980","59,660"
Arizona,All,"2,367,120",20.38,15.89,"42,390","33,040"
Arizona,Construction/Extraction,"103,220",18.78,17.49,"39,060","36,380"
Arkansas,All,"1,135,560",17.05,13.39,"35,460","27,860"
Arkansas,Construction/Extraction,"48,160",16.48,15.30,"34,270","31,820"
California,All,"14,001,730",24.39,18.21,"50,730","37,870"
California,Construction/Extraction,"495,260",24.94,23.55,"51,880","48,980"
Colorado,All,"2,157,690",22.48,17.68,"46,770","36,770"
Colorado,Construction/Extraction,"108,540",20.50,18.89,"42,630","39,300"
Connecticut,All,"1,598,640",24.96,19.56,"51,920","40,670"
Connecticut,Construction/Extraction,"45,670",24.83,24.09,"51,640","50,110"
Delaware,All,"397,730",22.53,17.26,"46,870","35,900"
Delaware,Construction/Extraction,"15,000",21.32,19.79,"44,340","41,170"
District of Columbia,All,"639,390",35.31,28.71,"73,440","59,720"
District of Columbia,Construction/Extraction,"9,670",25.29,24.37,"52,600","50,680"
Florida,All,"7,103,950",19.36,14.71,"40,270","30,600"
Florida,Construction/Extraction,"274,060",17.80,16.18,"37,030","33,640"
Georgia,All,"3,744,740",20.32,15.20,"42,270","31,610"
Georgia,Construction/Extraction,"128,310",17.51,15.83,"36,430","32,920"
Hawaii,All,"571,630",21.03,17.06,"43,740","35,480"
Hawaii,Construction/Extraction,"25,980",28.42,28.60,"59,100","59,490"
Idaho,All,"594,750",18.56,14.54,"38,600","30,240"
Idaho,Construction/Extraction,"29,920",18.35,17.07,"38,160","35,510"
Illinois,All,"5,528,420",22.33,16.87,"46,450","35,080"
Illinois,Construction/Extraction,"205,920",26.43,26.24,"54,970","54,580"
Indiana,All,"2,724,850",18.76,14.85,"39,020","30,880"
Indiana,Construction/Extraction,"106,990",21.52,19.81,"44,750","41,210"
Iowa,All,"1,438,510",18.14,14.60,"37,730","30,380"
Iowa,Construction/Extraction,"58,370",19.01,17.82,"39,550","37,070"
Kansas,All,"1,304,780",18.89,14.71,"39,290","30,590"
Kansas,Construction/Extraction,"59,200",18.89,16.75,"39,290","34,840"
Kentucky,All,"1,716,060",18.25,14.47,"37,970","30,090"
Kentucky,Construction/Extraction,"72,450",18.58,17.32,"38,640","36,020"
Louisiana,All,"1,832,830",18.26,14.50,"37,980","30,170"
Louisiana,Construction/Extraction,"112,430",18.20,16.74,"37,850","34,820"
Maine,All,"577,410",18.98,15.28,"39,470","31,780"
Maine,Construction/Extraction,"25,060",18.25,17.38,"37,970","36,140"
Maryland,All,"2,462,470",24.46,19.11,"50,880","39,740"
Maryland,Construction/Extraction,"113,910",21.41,19.43,"44,530","40,400"
Massachusetts,All,"3,119,100",25.82,20.13,"53,700","41,880"
Massachusetts,Construction/Extraction,"91,120",26.04,24.55,"54,160","51,070"
Michigan,All,"3,755,890",20.81,16.26,"43,280","33,830"
Michigan,Construction/Extraction,"107,880",22.23,20.97,"46,250","43,620"
Minnesota,All,"2,562,450",21.86,17.30,"45,470","35,990"
Minnesota,Construction/Extraction,"78,970",24.51,23.80,"50,990","49,490"
Mississippi,All,"1,070,820",16.31,12.83,"33,930","26,680"
Mississippi,Construction/Extraction,"50,200",16.22,14.85,"33,730","30,890"
Missouri,All,"2,588,450",19.13,14.78,"39,780","30,740"
Missouri,Construction/Extraction,"99,780",22.73,21.49,"47,280","44,700"
Montana,All,"424,300",17.34,13.95,"36,060","29,030"
Montana,Construction/Extraction,"24,710",19.42,18.32,"40,390","38,100"
Nebraska,All,"901,690",18.42,14.57,"38,300","30,320"
Nebraska,Construction/Extraction,"39,370",18.54,16.55,"38,570","34,430"
Nevada,All,"1,113,530",19.82,15.47,"41,220","32,180"
Nevada,Construction/Extraction,"58,780",25.43,24.28,"52,890","50,500"
New Hampshire,All,"603,420",21.37,16.70,"44,450","34,740"
New Hampshire,Construction/Extraction,"18,910",20.23,18.92,"42,080","39,340"
New Jersey,All,"3,770,550",24.39,18.76,"50,730","39,020"
New Jersey,Construction/Extraction,"107,560",26.84,25.56,"55,820","53,160"
New Mexico,All,"777,560",19.26,14.45,"40,050","30,060"
New Mexico,Construction/Extraction,"52,360",17.50,15.92,"36,410","33,110"
New York,All,"8,344,020",24.86,18.69,"51,700","38,880"
New York,Construction/Extraction,"302,350",26.40,23.99,"54,910","49,890"
North Carolina,All,"3,772,780",19.47,14.95,"40,500","31,090"
North Carolina,Construction/Extraction,"142,400",16.61,15.34,"34,540","31,900"
North Dakota,All,"355,710",17.81,14.50,"37,040","30,170"
North Dakota,Construction/Extraction,"23,710",20.19,18.34,"42,000","38,150"
Ohio,All,"4,921,690",19.66,15.45,"40,890","32,150"
Ohio,Construction/Extraction,"153,480",20.98,19.94,"43,640","41,480"
Oklahoma,All,"1,483,760",17.76,13.89,"36,940","28,890"
Oklahoma,Construction/Extraction,"80,190",17.23,15.71,"35,840","32,670"
Oregon,All,"1,569,700",20.94,16.58,"43,550","34,480"
Oregon,Construction/Extraction,"58,260",22.44,20.72,"46,680","43,110"
Pennsylvania,All,"5,483,220",20.70,16.27,"43,050","33,840"
Pennsylvania,Construction/Extraction,"207,440",21.36,19.39,"44,430","40,330"
Rhode Island,All,"448,150",22.08,17.39,"45,920","36,170"
Rhode Island,Construction/Extraction,"14,430",22.69,21.36,"47,180","44,420"
South Carolina,All,"1,746,820",18.23,14.33,"37,920","29,800"
South Carolina,Construction/Extraction,"65,080",16.84,15.48,"35,030","32,200"
South Dakota,All,"387,590",16.53,13.42,"34,390","27,900"
South Dakota,Construction/Extraction,"20,140",16.09,14.83,"33,470","30,840"
Tennessee,All,"2,569,420",18.43,14.38,"38,330","29,920"
Tennessee,Construction/Extraction,"90,200",17.02,15.59,"35,400","32,440"
Texas,All,"10,089,870",20.30,15.14,"42,220","31,490"
Texas,Construction/Extraction,"519,040",17.46,15.35,"36,310","31,920"
Utah,All,"1,148,520",19.29,15.04,"40,120","31,290"
Utah,Construction/Extraction,"65,530",18.83,17.79,"39,160","37,000"
Vermont,All,"286,990",20.21,15.97,"42,030","33,220"
Vermont,Construction/Extraction,"13,220",18.85,17.68,"39,210","36,770"
Virginia,All,"3,527,350",23.00,17.18,"47,840","35,740"
Virginia,Construction/Extraction,"159,960",18.87,17.43,"39,250","36,250"
Washington,All,"2,693,220",23.53,18.76,"48,940","39,030"
Washington,Construction/Extraction,"119,870",25.09,23.92,"52,190","49,750"
West Virginia,All,"688,170",17.01,13.19,"35,370","27,420"
West Virginia,Construction/Extraction,"46,310",20.07,18.68,"41,740","38,850"
