State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,40890,30850,1889069,10,38210,35040,108463,2,92,15,19.3
Wyoming,44930,37770,254991,6,49140,46100,14589,6,30,0,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,67,15,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,88,17,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,344,49,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,84,13,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,35,7,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,12,4,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,11,3,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,152,32,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,31,8,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,91,20,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,34,6,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,164,28,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,130,18,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,73,2,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,82,13,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,120,19,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,55,10,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,19,3,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,74,16,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,143,23,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,62,7,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,106,11,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,75,12,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,28,3,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,137,35,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,38,10,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,55,9,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,17,1,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,87,23,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,53,9,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,40,6,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,241,50,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,185,38,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,98,20,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,69,6,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,179,40,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,10,3,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,64,15,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,29,6,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,127,21,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,531,107,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,54,6,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,116,24,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,10,4,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,88,17,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,99,14,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,38,5,11.2
Wyoming,44930,37770,254991,6,49140,46100,14589,6,37,6,11.2
