State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,40890,30850,1889069,10,38210,35040,108463,2,92,15,1
Wyoming,44930,37770,254991,6,49140,46100,14589,6,30,0,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,67,15,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,88,17,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,344,49,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,84,13,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,35,7,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,12,4,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,11,3,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,152,32,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,31,8,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,91,20,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,34,6,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,164,28,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,130,18,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,73,2,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,82,13,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,120,19,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,55,10,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,19,3,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,74,16,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,143,23,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,62,7,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,106,11,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,75,12,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,28,3,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,137,35,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,38,10,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,55,9,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,17,1,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,87,23,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,53,9,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,40,6,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,241,50,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,185,38,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,98,20,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,69,6,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,179,40,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,10,3,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,64,15,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,29,6,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,127,21,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,531,107,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,54,6,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,116,24,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,10,4,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,88,17,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,99,14,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,38,5,0
Wyoming,44930,37770,254991,6,49140,46100,14589,6,37,6,0
