State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,39550,29950,1812340,9,36360,33390,77560,7,92,14,1
Alaska,52050,43510,298283,22,61120,59690,14486,21,31,3,0
Arizona,43950,33980,2433824,5,39770,36750,110741,2,60,7,1
Arkansas,36850,28690,1155140,3,34630,32200,61336,1,63,12,1
California,52350,38770,14488778,17,53820,50750,746875,15,375,58,1
Colorado,48110,37100,2165891,7,43940,39940,114604,8,82,21,0
Connecticut,53760,42030,1541007,14,53280,51250,58481,11,36,8,0
Delaware,48350,36710,377997,10,45240,42370,18496,6,14,0,0
Georgia,43310,32190,3912100,4,38120,34400,217020,4,101,17,1
Hawaii,44790,36350,537784,21,61060,61700,36372,33,20,6,0
Idaho,38440,30330,613845,4,36970,34820,31028,10,19,0,1
Illinois,47180,35490,5491469,14,54420,53490,219688,38,146,16,0
Indiana,40320,31740,2701025,9,47370,44030,129487,30,115,20,1
Iowa,39560,31880,1390968,10,40620,37970,48955,13,97,14,0
Kansas,40630,31330,1246900,6,40390,36300,56637,9,76,47,0
Kentucky,38940,30740,1745308,10,39500,36910,67318,11,91,16,1
Louisiana,39230,31050,1733922,6,38580,35740,119415,5,116,24,1
Maine,40860,32950,559062,11,38810,36510,25016,1,19,3,0
Maryland,52360,40590,2636939,10,45520,41100,149618,10,72,17,0
Massachusetts,55600,43420,2903336,14,56160,53110,115408,16,44,11,0
Michigan,43970,34370,3784762,16,46470,43930,127321,18,137,19,1
Minnesota,46630,36900,2465501,14,51310,49300,107469,26,70,13,0
Mississippi,35310,27820,1115953,4,35110,32330,59643,1,63,14,1
Missouri,41170,31650,2504074,8,48210,46170,120244,29,88,12,1
Montana,38030,30140,392769,13,43390,40460,18865,22,34,3,1
Nebraska,39510,31210,863209,6,38390,34660,40617,8,48,9,0
Nevada,41930,33000,1100217,14,51960,49750,54931,21,42,0,1
New Hampshire,45580,35740,621238,10,42790,40410,29175,10,14,4,0
New Jersey,51990,39870,3797439,16,56480,53910,181081,24,92,14,0
New Mexico,41440,31430,779227,6,38920,35400,40241,6,39,10,1
New York,53580,39910,7932316,23,57430,51770,351727,21,202,38,1
North Carolina,41750,31850,3804593,2,35820,32970,219075,1,146,18,1
North Dakota,40850,34110,329119,6,45580,42490,20755,8,65,25,0
Ohio,42690,33350,4798963,12,44780,42670,198649,26,161,29,1
Oklahoma,39160,30200,1529999,7,37820,34760,68871,3,97,12,1
Oregon,45250,35650,1527065,15,48590,45550,73947,13,43,5,1
Pennsylvania,44520,34900,5449224,13,45360,41980,241797,20,194,29,0
Rhode Island,48480,37360,455284,17,49430,46790,16117,21,8,0,0
South Carolina,38700,30210,1773172,3,35900,32890,90554,0,63,12,1
South Dakota,36020,29090,351590,5,34230,31720,17271,6,31,7,0
Tennessee,39320,30350,2590205,4,36190,33670,135526,6,101,18,1
Texas,43620,32350,10585766,5,37690,33350,665731,3,536,105,1
Utah,41840,32760,1181074,5,39880,37500,65965,5,39,6,0
Vermont,43680,34540,288100,10,39900,37290,12543,2,11,0,0
Virginia,49540,36630,3594507,4,40260,36860,209483,5,149,34,0
Washington,51150,40500,2776978,18,53200,51030,114950,19,67,9,0
West Virginia,37100,28550,697380,12,44600,41370,32636,22,49,4,1
Wisconsin,41920,33650,2607519,11,48060,45230,80475,21,114,11,0
Wyoming,43180,36740,252241,6,46200,43790,12711,4,35,3,0
