State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,39550,29950,1812340,9,36360,33390,77560,7,92,15,19.0
Wyoming,43180,36740,252241,6,46200,43790,12711,4,31,3,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,63,12,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,60,7,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,375,58,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,82,21,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,36,8,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,14,0,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,11,4,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,101,17,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,20,6,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,97,14,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,19,0,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,146,16,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,115,20,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,76,47,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,91,16,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,116,24,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,44,11,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,19,3,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,72,17,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,137,19,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,70,13,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,88,12,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,63,14,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,34,3,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,146,18,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,65,25,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,48,9,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,14,4,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,92,14,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,39,10,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,42,0,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,202,38,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,161,29,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,97,12,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,43,5,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,194,29,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,8,0,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,63,12,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,31,7,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,101,18,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,536,105,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,39,6,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,149,34,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,11,0,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,67,9,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,114,11,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,49,4,12.6
Wyoming,43180,36740,252241,6,46200,43790,12711,4,35,3,12.6
